1764934013.9437647,0.43
1764934014.946099,176.59
1764934015.9495277,203.30
1764934016.952213,201.46
1764934017.9552898,202.38
1764934018.9577274,204.50
1764934019.9595292,202.63
1764934020.9600763,202.89
1764934021.963565,201.30
1764934022.9644833,204.81
1764934023.9655623,209.77
1764934024.969465,206.20
1764934025.9726112,207.35
1764934026.9761713,206.27
1764934027.9779007,201.65
1764934028.9783735,203.90
1764934029.9809105,204.48
1764934030.9855845,205.04
1764934031.9888031,200.36
1764934032.9906795,200.62
1764934033.9934313,202.44
1764934034.9956486,206.54
1764934035.9994638,203.22
1764934037.0565026,43.52
1764934038.150115,10.06
1764934039.2156518,7.51
1764934040.301808,7.37
1764934041.4318156,7.08
1764934042.510429,6.49
1764934043.5322685,6.85
1764934044.5943034,7.53
1764934045.6671333,7.46
1764934046.7678823,7.27
1764934047.8748002,8.13
1764934048.8899536,7.88
1764934049.972381,7.39
1764934050.9779963,7.96
1764934052.036867,7.56
1764934053.1277215,7.33
1764934054.2382238,8.10
1764934055.2634413,7.80
1764934056.3152313,7.61
1764934057.406322,7.33
1764934058.5079088,8.17
1764934059.5599737,8.55
1764934060.6407692,8.33
1764934061.7395763,8.19
1764934062.7538376,7.89
1764934063.8633177,8.11
1764934064.9289224,7.51
1764934065.977182,7.63
1764934067.0630968,8.29
1764934068.097819,7.73
1764934069.1253433,7.79
1764934070.1976316,8.39
1764934071.2329757,7.73
1764934072.276137,7.67
1764934073.341608,7.51
1764934074.3853273,7.66
